epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,3957.05,0.21061,2.96714,0.19927,0.20068,0.92824,0.98509,0.97854,0.98897,0.96286,0.81154,0.72695,0.68267,0.56211,0.26967,2.92866,0.20987,0.37593,0.59964,0.002872,0.002872,0.002872
38,4065.18,0.20824,2.87841,0.19829,0.19768,0.92543,0.98119,0.98426,0.98878,0.96229,0.80536,0.72659,0.689,0.5684,0.27049,2.8637,0.20895,0.36438,0.60087,0.002674,0.002674,0.002674
39,4174.08,0.20734,2.88628,0.19656,0.19969,0.92786,0.98488,0.98104,0.98854,0.96405,0.80748,0.72906,0.68531,0.56744,0.26386,2.87264,0.20996,0.36953,0.59175,0.002476,0.002476,0.002476
40,4284.31,0.20535,2.82037,0.1942,0.19602,0.92716,0.9856,0.98319,0.98878,0.96363,0.80931,0.73498,0.69669,0.57667,0.26764,2.81574,0.21041,0.36674,0.59689,0.002278,0.002278,0.002278
41,4393.18,0.16962,2.7306,0.20729,0.16189,0.90697,0.98743,0.98344,0.98916,0.96477,0.81626,0.73104,0.71108,0.59507,0.26685,2.83589,0.20556,0.33521,0.59686,0.00208,0.00208,0.00208
42,4499.23,0.16746,2.71966,0.20409,0.15646,0.90905,0.98316,0.98283,0.9887,0.96583,0.80892,0.73319,0.70916,0.6007,0.26956,2.82349,0.20354,0.36659,0.59755,0.001882,0.001882,0.001882
43,4606.3,0.16381,2.66208,0.20088,0.1518,0.90387,0.98567,0.98382,0.98941,0.96588,0.81943,0.73525,0.71602,0.60725,0.27248,2.79955,0.20045,0.36855,0.60117,0.001684,0.001684,0.001684
44,4712.91,inf,2.59659,0.19996,0.14931,0.9052,0.98497,0.98498,0.98962,0.96631,0.81951,0.73462,0.71554,0.60456,0.27376,2.78166,0.20012,0.37105,0.60094,0.001486,0.001486,0.001486
45,4819.94,0.15503,2.57433,0.19871,0.14595,0.90359,0.98603,0.98426,0.98954,0.96692,0.81573,0.73462,0.72102,0.61104,0.27146,2.76271,0.19782,0.36556,0.5998,0.001288,0.001288,0.001288
46,4926.93,0.15501,2.52312,0.19736,0.14519,0.90183,0.98464,0.98559,0.98971,0.96676,0.81554,0.73534,0.71469,0.60417,0.26934,2.76531,0.19697,0.36405,0.60015,0.00109,0.00109,0.00109
47,5033.04,0.15046,2.46415,0.19573,0.14218,0.90023,0.98518,0.98391,0.98964,0.96639,0.81887,0.73784,0.71432,0.60337,0.26918,2.75247,0.19586,0.36011,0.60035,0.000892,0.000892,0.000892
48,5139.62,0.14931,2.4427,0.1952,0.14161,0.90032,0.98533,0.98458,0.98957,0.96658,0.82184,0.73856,0.72602,0.61249,0.27081,2.73192,0.19478,0.36486,0.6031,0.000694,0.000694,0.000694
49,5246.05,0.1456,2.39004,0.19508,0.13734,0.89577,0.98603,0.98423,0.98964,0.96768,0.82178,0.73881,0.73085,0.61939,0.27055,2.70398,0.194,0.37814,0.60154,0.000496,0.000496,0.000496
50,5352.64,0.14516,2.36447,0.19381,0.13669,0.89842,0.98357,0.98462,0.98961,0.9675,0.82198,0.74142,0.73456,0.6224,0.27305,2.68864,0.19357,0.37608,0.60429,0.000298,0.000298,0.000298
